Feature ID,Domain,Phylum,Class,Order,Family,Genus,Species
dd586a1ae04ed2d129d944286ae71f61,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus epidermidis
c0089458dae2c0559162e58eb2661873,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,G047199095,G047199095 sp047199095
9fc4609d84db9e441de7db46d7172ae4,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,G047199095,G047199095 sp047199095
d3eab112b21cbea371f808f940fa4b0c,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus epidermidis
aab4d379026eb5e6a7e2b32ec4c715e7,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus epidermidis
34babcf1732962962d2fbbbadf3af637,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus epidermidis
07b2978940b50886f3866b04b7f982cf,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus agalactiae
a0ec2668157ffb2374ece8cad58ecc5f,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas paraeruginosa
27be187284317979c93fd2218ee3722e,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus argenteus
21b49156bf40185385c31d7db91a5ad5,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae_G,Bacillus_A,Bacillus_A pacificus
92bcc461c3dbfbeb88759ada02f95a6b,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae_G,Bacillus_A,Bacillus_A pacificus
efe5e4e4ba300f45c88da09e3e9cd3e4,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
985d4a0d4d7e7d255af6a92044ae5901,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
51d51e872348c3c5e3b70be7f91c4a32,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
994cb47a2b400e6185743e1765244faf,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
4bec1cb362f10c0518dae936b3032c6f,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
cd1af128eb857acddb168e57245021ec,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
1f1158dbb4126e5a7f04094b61700493,Bacteria,Bacillota,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium beijerinckii
0ed2d53fd823b2ef922b6f349cade1cd,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria,Neisseria meningitidis
7932226c8cd025d2ea117b03d48f63e8,Bacteria,Bacillota,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium beijerinckii
b80a1bd6b19379171cafb03a4ddb26a3,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Cereibacter_A,Cereibacter_A sphaeroides
61de72098cbf9f693f09c863d1c5a586,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas gingivalis
a0530711bdec8d611872863731f96dde,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans
bc7d5e82dae59e2e5e8321bb5c5eae4b,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans
13bc41e35faa4f40a01de5a972c0c4ac,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia boydii
f3cfb383dcfb753cad226072f6665784,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus epidermidis
7dcace79bc8188077e07b0085aa57b7f,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae_G,Bacillus_A,Bacillus_A pacificus
09a8fa70427aa68f16934c729b826071,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,G047199095,G047199095 sp047199095
3b44c0cd22f7eeac2386b9f2d475930a,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,G047199095,G047199095 sp047199095
0bf3e0641c88ec588bc66b567c3fa63d,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,G047199095,G047199095 sp047199095
fce86ef2355971d83413788cbb660531,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus gasseri
070e52443d30c5d9e99c8cb06412db1a,Bacteria,Bacillota,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium beijerinckii
7809550a0f7794b926ffcebad7542089,Bacteria,Bacillota,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium beijerinckii
37d8a0129a66ddba216a600739d34631,Bacteria,Bacillota,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium beijerinckii
aaf82c612373bafcef3509b72ee24809,Bacteria,Bacillota,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium beijerinckii
a8f0a9703e902a87d6be02364e684c50,Bacteria,Bacillota,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium beijerinckii
3feab8f97f15836d17829bc4ea074162,Bacteria,Bacillota,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium beijerinckii
e7b11bfbee47d834b64203b6c1294201,Bacteria,Bacillota,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium beijerinckii
2f66c5bd318dfac1e9738ffd54ca88b8,Bacteria,Bacillota,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium beijerinckii
021408f68ac3d943f7e16261373b2a61,Bacteria,Bacillota,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium beijerinckii
7983269916ac14fd4655f0a0c60f8694,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium acnes
0ccaf57fc10e3ca943b9911e91c05de1,Bacteria,Bacillota,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium beijerinckii
8348a732f75c6a0439af2ebffbac5ff1,Bacteria,Bacillota,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium beijerinckii
d669559001b98da82874fac6581afc1c,Bacteria,Bacillota,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium beijerinckii
b2ef16dee036f7ce8b9b74a7234111c1,Bacteria,Bacillota,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium beijerinckii
913abfe7ecfd10c4eb54ea1dea67f07c,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori
34b695df3f78278d604299f2c4adc80c,Bacteria,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus radiodurans
26cfdb2bcbd3a64a84e9b237d94a97eb,Bacteria,Bacillota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterococcus,Enterococcus faecalis
339aac7377a0d948a52bc0b2bf3dfda8,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus
9f3938b0148e6fa857077444480b6fd3,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus
